;features_changes_themes;features_changes_keywords
1;editor,cli,version_control;command line,git(hub)?,diffs?($|\W)
5;dissemination,ide,visualization,cli,integration;graphics,variables,matplotlib,workspace|ide($|\W)|rstudio,terminal,interact(ion|ive|ity)
6;hosting,dissemination,documentation;slides(how)?,download,PDF($|\W),nbconvert,doc(s|umentation)?($|\W),slides?,jupyter(\s)?hub
7;dissemination;knitr,report(ing)?,dashboards?
9;;
10;hosting,dissemination,ux;multi(ple|-)?\s?user,(styles?|stylesheets?|CSS|theme|skin|font|colo(u)?r),nbconvert
11;ux;(window|pane|sidebar|screen|width|height)
17;content_management,ux;paste,sections,collaps(e|ing|ible),(toc|table of contents)
19;dissemination,visualization,integration;integrat(e|ion),widgets,(apache\s)?spark,dashboards?
21;collab;collaborat(ion|ive|ing)
22;ux;click(ing)?
23;ide,content_management;debug,variable (explorer|viewer),refactor(ing)?
26;ide,ux;breakpoints?,collaps(e|ing|ible)
28;content_management,ux;spell(\s|-)?check(er|ing)?,(toc|table of contents)
31;hosting,content_management,ux;file(\s)?system,install,(styles?|stylesheets?|CSS|theme|skin|font|colo(u)?r),(window|pane|sidebar|screen|width|height)
33;;
35;dissemination,ide,integration,ux;slides?,integrat(e|ion),slides(how)?,debug,navigat(e|ion|ing)
37;editor;vim?($|\W)|sublime|atom|emacs,(tab|code|auto)-?\s?complet(e|ion)
39;dissemination,visualization,documentation,ux;undo,publish(ing)?,widgets,doc(s|umentation)?($|\W)
40;ux;(styles?|stylesheets?|CSS|theme|skin|font|colo(u)?r)
41;language,integration,version_control;integrat(e|ion),packages,git(hub)?,python
42;ide;variables
46;ux,language;(multiple|groups of|individual) cells,language
48;;
49;ux;(window|pane|sidebar|screen|width|height)
51;hosting,dissemination,integration;matplotlib,integrat(e|ion),install,PDF($|\W)
52;collab;collaborat(ion|ive|ing)
53;content_management;file(\s)?system
54;editor,ide,integration,version_control;integrat(e|ion),git(hub)?,debug,variable (explorer|viewer),diffs?($|\W)
56;version_control;(source|version) (control|tracking|management),version(ing)?(\snotebooks)?
59;hosting,ux;paste,sections,docker,collaps(e|ing|ible)
60;editor,content_management,ux;vim?($|\W)|sublime|atom|emacs,(folders?|director(y|ies)),fold(ing)?(.*cells)?,navigat(e|ion|ing)
61;editor,integration,ux,version_control;integrat(e|ion),keyboard|short-?cuts?,git(hub)?,(menus?|icons?|buttons?|tooltips?)
66;editor,version_control;version(ing)?(\snotebooks)?,((version|editing) history)|revisions,git(hub)?,diffs?($|\W)
68;dissemination,ide,integration,ux;packages,spell(\s|-)?check(er|ing)?,workspace|ide($|\W)|rstudio,slides?
69;editor,version_control;(source|version) (control|tracking|management),version(ing)?(\snotebooks)?,keyboard|short-?cuts?
78;;
79;dissemination;presentations?
81;hosting,dissemination,ide,documentation,ux;inspector,install,(menus?|icons?|buttons?|tooltips?),interact(ion|ive|ity),doc(s|umentation)?($|\W),how(\s|-)?tos?,click(ing)?,(window|pane|sidebar|screen|width|height)
85;editor,content_management;keyboard|short-?cuts?,find\s?(\/|and\s)replace
87;editor,dissemination,visualization;plotting,vim?($|\W)|sublime|atom|emacs,(hot)?key(\s|-)?(mappings|bindings),interact(ion|ive|ity)
89;integration,ux,version_control;integrat(e|ion),git(hub)?,(styles?|stylesheets?|CSS|theme|skin|font|colo(u)?r)
92;;
93;dissemination;deployment,interact(ion|ive|ity)
94;dissemination,integration,cli;integrat(e|ion),slides(how)?,terminal,slides?
95;version_control;git(hub)?
96;;
97;editor,integration,version_control;vim?($|\W)|sublime|atom|emacs,integrat(e|ion),git(hub)?
98;hosting,dissemination,visualization;export,plotting,S3,PDF($|\W)
99;content_management,ux;(folders?|director(y|ies)),(menus?|icons?|buttons?|tooltips?)
101;editor,integration,version_control;vim?($|\W)|sublime|atom|emacs,integrat(e|ion),git(hub)?,(hot)?key(\s|-)?(mappings|bindings)
102;integration,language;integrat(e|ion),R($|\W)
103;cli,content_management,integration,ux,version_control;g?ui($|\W),integrat(e|ion),terminal,git(hub)?,file(\s)?system
104;integration,ux,version_control;(source|version) (control|tracking|management),integrat(e|ion),pyflakes,version(ing)?(\snotebooks)?,g?ui($|\W)
105;hosting,editor,version_control;vim?($|\W)|sublime|atom|emacs,install,version(ing)?(\snotebooks)?,git(hub)?
107;;
110;content_management,integration;import,packages
118;ux;(styles?|stylesheets?|CSS|theme|skin|font|colo(u)?r)
119;editor;(text|code) edit(or|ing),(tab|code|auto)-?\s?complet(e|ion)
120;dissemination,ux;dialog,slides?
123;;
126;dissemination,ide,ux;drag,export,drop,debug
129;content_management,cli;console,file (manager|browser),find\s?(\/|and\s)replace
131;visualization,integration;matplotlib,widgets
135;editor,ux;(menus?|icons?|buttons?|tooltips?),g?ui($|\W),keyboard|short-?cuts?,multi(ple\s|-)cursor,(window|pane|sidebar|screen|width|height)
139;content_management;import,import(able)? (from)? notebooks?
141;dissemination;slides(how)?,PDF($|\W),slides?
143;dissemination,documentation,version_control;sharing,version(ing)?(\snotebooks)?,doc(s|umentation)?($|\W)
145;ide,ux;drop,variables
146;integration,collab,version_control;integrat(e|ion),git(hub)?,collaborat(ion|ive|ing)
148;ux;g?ui($|\W)
151;hosting;install
152;visualization,integration,language;d3,integrat(e|ion),python
154;version_control;(source|version) (control|tracking|management),version(ing)?(\snotebooks)?
155;ux;(multiple|groups of|individual) cells,hid(e|ing|den),(window|pane|sidebar|screen|width|height)
157;visualization,documentation,integration;instructions?,integrat(e|ion),widgets
159;editor,ux,language;vim?($|\W)|sublime|atom|emacs,keyboard|short-?cuts?,(styles?|stylesheets?|CSS|theme|skin|font|colo(u)?r),language
160;hosting,integration,ux,language;cloud,integrat(e|ion),(menus?|icons?|buttons?|tooltips?),R($|\W)
163;documentation;doc(s|umentation)?($|\W)
167;language,dissemination,visualization,version_control;deployment,git(hub)?,python,interact(ion|ive|ity),widgets
173;;
176;ux;copy/paste,navigat(e|ion|ing),paste,sections,(window|pane|sidebar|screen|width|height)
179;version_control;git(hub)?
184;editor;keyboard|short-?cuts?
186;ux,version_control;git(hub)?,undo
198;ide,content_management,cli,language;console,import,python,variables
204;;
