;first_experience_enhancements_themes;first_experience_enhancements_keywords
1;documentation,visualization;doc(s|umentation)?($|\W),widgets?
6;hosting,ux,content_management;file (brows(er|ing)|explorer|navigator),(folders?|director(y|ies)),(multi-|multiple\s)cells?,cloud,server
7;language,installation;set(ting)?(\s)?up,julia,python,(multi-?)?language,R($|\W)
9;documentation;introduction
17;installation,integration;(ana)?conda,set(ting)?(\s)?up
19;editor;(tab|code|auto)-?\s?complet(e|ion)
21;ux;(auto)?-?sav(e|ing)|checkpoints?
22;documentation;help
26;ux,dissemination;(multi-|multiple\s)cells?,(nb)?convert
28;documentation,editor,ux;(menu|buttons?|toolbar|tooltips?|logo|icons?),introduction,doc(s|umentation)?($|\W),(tab|code|auto)-?\s?complet(e|ion)
29;documentation;doc(s|umentation)?($|\W)
31;ux;interface
35;dissemination,installation,development;install(ation)?,slides(hows?),debug(ging|er)?
37;installation;install(ation)?
39;hosting,editor,ux;(menu|buttons?|toolbar|tooltips?|logo|icons?),mybinder.org,(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard
48;hosting,documentation;start,doc(s|umentation)?($|\W),tutorial(s?)
49;language;R($|\W)
54;hosting,dissemination,content_management;navigat(e|ion|ing),(folders?|director(y|ies)),export(ing)?,server
56;dissemination,language,ux;python,export(ing)?,(auto)?-?sav(e|ing)|checkpoints?
59;;
61;documentation;doc(s|umentation)?($|\W)
63;documentation,ux,installation,language;python,(screen|width),install(ation)?,tour,guides?,set(ting)?(\s)?up
68;hosting,ux;virtual(env|\senvironment),start,spell(\s|-)?check(er|ing)?
81;documentation;help,doc(s|umentation)?($|\W)
93;dissemination;export(ing)?
94;editor,dissemination,other;(text|code\s)?edit(or|ing),terminal,slides(hows?)
95;editor;(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard
97;ux;(style(s|sheets?)?|styling|CSS|themes?|skin|fonts?|colo(u)?rs?)
98;hosting,installation;server,set(ting)?(\s)?up
102;hosting,documentation;start,instructions
103;compatibility,installation;install(ation)?,versions
107;documentation;examples?,introduction
109;hosting,documentation;examples?,start,doc(s|umentation)?($|\W)
123;;
126;hosting,editor,development;namespaces?,(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard,launch(ing)?
129;visualization;widgets?
131;visualization;widgets?
135;hosting,integration;as service,(ana)?conda
139;dissemination;export(ing)?
141;;
143;;
146;documentation;help,tour
148;documentation;tutorial(s?)
150;ux,installation,content_management,extensions;install(ation)?,(screen|width),toc|table of contents,extensions?
154;content_management,extensions;file (brows(er|ing)|explorer|navigator),extensions?
159;documentation,ux,editor;stab(le|ility)|crash(es)?,(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard,doc(s|umentation)?($|\W)
163;documentation;doc(s|umentation)?($|\W)
167;version_control,language,visualization;python,git(hub)?,visualization
176;documentation,ux;(style(s|sheets?)?|styling|CSS|themes?|skin|fonts?|colo(u)?rs?),doc(s|umentation)?($|\W)
186;ux,installation,content_management,extensions;plugins?,search,(multi-|multiple\s)cells?,(search|find)(/|&|\sand\s)replace
194;;
211;documentation,installation;install(ation)?,doc(s|umentation)?($|\W),tutorial(s?)
219;installation;install(ation)?
220;documentation;doc(s|umentation)?($|\W)
221;editor,ux;(menu|buttons?|toolbar|tooltips?|logo|icons?),(text|code\s)?edit(or|ing)
232;documentation;tutorial(s?)
235;other,hosting,installation,integration;install(ation)?,terminal,launch(ing)?,(ana)?conda
237;dissemination,ux;(style(s|sheets?)?|styling|CSS|themes?|skin|fonts?|colo(u)?rs?),shar(e|ing)
238;hosting,documentation,integration;start,guides?,%?matplotlib
246;;
254;documentation;tutorial(s?)
259;;
262;documentation;tour,tutorial(s?)
264;;
267;language,other;terminal,(more|different) kernels
268;;
270;documentation;doc(s|umentation)?($|\W)
271;ux;(multi-|multiple\s)cells?,(clear|run) all
277;hosting,ux,other;start,interface,forg(e|o)t
279;hosting,ux,language,dissemination;python,start,(double(\s|-))?click(ing)?,notebook to
286;hosting,integration;start,%?matplotlib
290;ux,content_management;(folders?|director(y|ies)),(auto)?-?sav(e|ing)|checkpoints?
293;documentation,editor,integration;pylab,tour,(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard,guides?
298;documentation;walk(-|\s)through,help
303;ux,content_management;(style(s|sheets?)?|styling|CSS|themes?|skin|fonts?|colo(u)?rs?),(search|find)(/|&|\sand\s)replace
305;documentation,ux,extensions;(menu|buttons?|toolbar|tooltips?|logo|icons?),hid(e|den|ing),introduction,extensions?
309;editor;vim?($|\W)|emacs
310;editor;(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard
311;ux,language;python,(better|modern) (UI|interface),interface
312;documentation,visualization;examples?,tutorial(s?),widgets?
314;dissemination,visualization;(nb)?convert,widgets?
316;;
333;ux,language;(better|modern) (UI|interface),(several|multiple) kernels,interface,rendering
340;visualization;graphics
341;visualization;widgets?
344;editor,documentation,language,integration;python,pandas,%?matplotlib,sympy,(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard,tutorial(s?)
345;other;remember
350;ux,content_management;navigat(e|ion|ing),hid(e|den|ing)
352;;
353;;
356;other;remember
370;integration;%?matplotlib
374;;
384;version_control,hosting,ux,installation,extensions;install(ation)?,plugins?,git(hub)?,(auto)?-?sav(e|ing)|checkpoints?,server
385;editor,ux;stab(le|ility)|crash(es)?,(text|code\s)?edit(or|ing)
389;documentation;examples?
394;documentation,ux;(menu|buttons?|toolbar|tooltips?|logo|icons?),tutorial(s?)
396;editor,ux;hid(e|den|ing),(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard,(auto)?-?sav(e|ing)|checkpoints?,vim?($|\W)|emacs
399;;
400;version_control,hosting,dissemination;shar(e|ing),multi(ple|-)?\s?user,version control
403;hosting,ux;(menu|buttons?|toolbar|tooltips?|logo|icons?),start
408;documentation,language,installation;install(ation)?,julia,examples?
411;documentation;hints
413;ux;hid(e|den|ing)
414;integration;%?matplotlib
418;integration;(ana)?conda
421;dissemination,ux,installation,integration;pandas,(clear|run) all,search,slides(hows?)
431;documentation;doc(s|umentation)?($|\W)
437;documentation,installation,extensions;install(ation)?,doc(s|umentation)?($|\W),extensions?
439;language;(several|multiple) kernels
441;development;namespaces?
445;installation;install(ation)?
458;hosting,documentation,ux;launch(ing)?,tutorial(s?),interface
460;;
463;editor,ux;(double(\s|-))?click(ing)?,vim?($|\W)|emacs
473;language;python,(more|different) kernels
474;documentation;use(\s|-)case,demos?
475;;
483;visualization;widgets?
486;editor,installation,integration;install(ation)?,(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard,(apache\s)?spark
491;language;(multi-?)?language
492;documentation;tutorial(s?)
495;ux;(double(\s|-))?click(ing)?
496;;
517;documentation,ux;(screen|width),welcome,tutorial(s?)
524;documentation,language;(multi-?)?language,tutorial(s?)
525;editor,ux,language,content_management,other;(menu|buttons?|toolbar|tooltips?|logo|icons?),python,file (brows(er|ing)|explorer|navigator),(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard,confusing
534;installation,language;install(ation)?,julia
535;ux;(double(\s|-))?click(ing)?
540;hosting;server
541;documentation,editor;help,(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard
549;documentation;tutorial(s?)
556;language;(multi-?)?language,R($|\W)
561;hosting;multi(ple|-)?\s?user
563;installation;install(ation)?
