;integrations_themes;integrations_keywords
1;feature,version,language,app_lib_service;bokeh,interactiv(e|ity),plot(ting),git(\W|$),sql,js
3;version,platform,feature;version(ing)?\Wcontrol,git(\W|$),dashboard,docker
6;feature,app_lib_service;sphinx,slides,binder,slide
7;feature,app_lib_service;pelican,ipython,phantomx,github,shiny,blog,sphinx,dashboard
9;platform,feature;visuali(s|z)ation,orchestrat,api(\W|$),docker,interactiv(e|ity)
10;feature;debug
11;feature;debug,profil(e|ing),editor
12;app_lib_service;vispy,matplotlib
13;feature,app_lib_service;plot(ting),sage,3d
14;version,feature;git(\W|$),widgets,dashboard
19;app_lib_service;swift,spark,github
22;feature,app_lib_service;finder,file manage
23;feature;debug,editor
24;feature;ides?(\W|$),writing
26;;
31;language,app_lib_service;octave,R(\W|$),sage
32;app_lib_service;excel
33;feature;console
35;version,feature;version(ing)?\Wcontrol,history,state,git(\W|$),share,debug
36;version,language,app_lib_service;d3,R(\W|$),git(\W|$)
37;feature;file system,completion
39;version,feature;instruments,git(\W|$),search
40;app_lib_service,feature;index,code editing,pandas
41;version,feature;version(ing)?\Wcontrol,git(\W|$),figures,interactiv(e|ity)
42;feature;refactor
46;app_lib_service;(ana)?conda
48;version,app_lib_service;git(\W|$),pandoc
49;app_lib_service;d3,ggvis
51;feature,app_lib_service;extensions,pdf
52;app_lib_service;bokeh
54;feature,version,app_lib_service;visuali(s|z)ation,git(\W|$),matplotlib,3d,interactiv(e|ity)
59;app_lib_service;atom,matplotlib
60;version,app_lib_service;version(ing)?\Wcontrol,(ana)?conda
61;feature,version,app_lib_service;stash,git(\W|$),command\W?line,atlassian
66;version;git(\W|$),history
68;app_lib_service,language,feature;spell\W?check,mathjax,math,nbconvert,latex
69;app_lib_service;(ana)?conda,bokeh
71;language,app_lib_service;scala,hive,spark,sql
78;language;sas
79;feature,version,app_lib_service;presentation,sublime,git(\W|$)
85;app_lib_service;matplotlib
87;app_lib_service;vim
90;feature,language,app_lib_service;d3,js,editor
92;version;git(\W|$)
93;platform,feature;deploy,widgets,database
95;version;git(\W|$)
97;version,feature;git(\W|$),editor
98;feature,app_lib_service;database,plot(ting),spark,bokeh
99;platform,feature;google,spreadsheet
101;feature,version,app_lib_service;vim,git(\W|$),production
102;language;python(3|2)?,R(\W|$),C(\W|$)
103;app_lib_service,version,language,feature;wiki,interactiv(e|ity),git(\W|$),java,matplotlib,pandas
104;version,app_lib_service;pyflakes,git(\W|$)
105;version,app_lib_service;vim,neovim,git(\W|$)
109;version;git(\W|$)
110;feature;presentation,slide
118;platform,app_lib_service;aws,spark
120;language;R(\W|$)
121;feature,version,app_lib_service;vim,git(\W|$),auto ?complet(e|ion),editor
123;version,feature;version(ing)?\Wcontrol,editor
126;feature,platform,app_lib_service;aws,debug,pdb
128;app_lib_service,feature;editor,virtualenv
129;app_lib_service;vim
131;version;git(\W|$)
133;language;R(\W|$),i?julia,julia
135;feature,version,app_lib_service;sublime,editor,vim,atom,emacs,git(\W|$)
139;app_lib_service,feature;test,spyder,progress
140;feature;spell\W?check
141;language,app_lib_service;scala,latex,spark,pdf
142;app_lib_service;sublime,bbedit
144;app_lib_service;matplotlib,tensorflow
145;feature,app_lib_service;interactiv(e|ity),bokeh
146;version,app_lib_service;d3,git(\W|$)
148;feature,app_lib_service;atom,sublime,editor
149;version;git(\W|$)
150;feature;widgets,dashboard
151;feature;plugin,grid,visualization,customiz,install,visuali(s|z)ation
152;version,feature;d?vcs,offline,app creation,widgets
153;feature,language,app_lib_service;R(\W|$),spark,visualization,visuali(s|z)ation
154;version;git(\W|$)
155;feature,language,app_lib_service;shiny,R(\W|$),spark,interactiv(e|ity)
156;app_lib_service;pdb
157;feature,app_lib_service;cprofile,matplotlib,yt
159;feature,app_lib_service;(ana)?conda,matplotlib,visualization,visuali(s|z)ation
160;feature,version,language,app_lib_service;version(ing)?\Wcontrol,latex,bibliography,git(\W|$),virtualenv,bibtex,(ana)?conda
163;version;git(\W|$)
167;app_lib_service,language,feature;python(3|2)?,production,hue,script,bokeh
169;feature;presentation,grading
173;version,language,app_lib_service;latex,git(\W|$),nbviewer
174;feature;completion
177;platform,app_lib_service;pelican,bibtex,docker
182;language,feature;latex,editor
183;app_lib_service,feature;presentation,pdf,github
184;feature,app_lib_service;xml,scipy,numpy
186;feature;editor
189;version,app_lib_service;version(ing)?\Wcontrol,git(\W|$),mayavi
197;version;git(\W|$)
198;feature,app_lib_service;ipython,matplotlib,console,interactiv(e|ity)
204;version;git(\W|$)
210;feature,language,app_lib_service;latex,citation,slide,pandoc,caching,html,slides
211;platform,feature;widgets,api(\W|$),docker,interactiv(e|ity)
216;feature,app_lib_service;comment,flake,travis,github
218;version;git(\W|$)
219;language;node,js
221;feature;spell\W?check
223;platform,feature;customiz,deploy,command\W?line,them(e|ing)
227;feature,language,app_lib_service;d3,visualization,interactiv(e|ity),js,pandas,visuali(s|z)ation
229;app_lib_service;gui,vispy,matplotlib
231;app_lib_service,feature;fold,ides?(\W|$),rstudio
233;app_lib_service;emacs,pandoc
235;feature,app_lib_service;extensions,ipython
237;feature,app_lib_service;plot(ting),pycuda,video,animation
238;version,feature;version(ing)?\Wcontrol,collab,plot(ting),widgets,dashboard
239;feature;completion,modules
240;version,feature;version(ing)?\Wcontrol,math
245;version,app_lib_service;doit,git(\W|$),cookiecutter
246;feature,version,app_lib_service;git(\W|$),matplotlib,mayavi,interactiv(e|ity)
248;language,app_lib_service;node,js,gephi
249;app_lib_service;emacs
250;language;scala,R(\W|$),sql
251;app_lib_service;cdh
254;app_lib_service;vim
258;feature;interactiv(e|ity)
261;feature;spell\W?check
262;language,feature;latex,citation
263;feature;editor
264;feature;terminal,profil(e|ing)
265;app_lib_service;emacs
266;feature,language,app_lib_service;python(3|2)?,python\W?anywhere,graphical
267;app_lib_service;nbconvert,octave,live_reveal
268;version,language;git(\W|$),sql
270;platform,app_lib_service;emacs,gnome,hdf
271;feature,app_lib_service;3d,plot(ting),mayavi,animation,interactiv(e|ity)
274;language,app_lib_service;R(\W|$),sql,pandoc
275;feature,language,app_lib_service;imports,sublime,vim,emacs,python(3|2)?,views
277;feature,app_lib_service;matplotlib,animation,interactiv(e|ity)
278;feature;editor,visuali(s|z)ation
279;version,feature;slides,git(\W|$),slide
280;app_lib_service;vim
282;version,language,app_lib_service;version(ing)?\Wcontrol,github,pep8,pylint,git(\W|$),js
284;version,feature;debug,git(\W|$),profil(e|ing),editor
286;version,app_lib_service;git(\W|$),github
287;feature;cluster,load balanc
290;app_lib_service;pygdb
292;app_lib_service;emacs
293;language,app_lib_service;d3,java,bokeh
294;feature;auto ?complet(e|ion),editor
298;feature,app_lib_service;ipython,debug
300;app_lib_service,feature;diffing,pandoc
303;feature;plot(ting),interactiv(e|ity)
305;app_lib_service,version,feature;command\W?line,collab,hg,git(\W|$),share,d?vcs,(ana)?conda
306;version;git(\W|$)
310;language,feature;test,sql
312;app_lib_service,feature;debug,docrepr,dashboard
314;app_lib_service,feature;debug,pdf,interactiv(e|ity)
316;app_lib_service;evernote,pycharm
317;app_lib_service;hadoop
323;feature;proprietary
324;app_lib_service;sublime
328;version,feature;debug,git(\W|$)
332;version;git(\W|$)
333;language,feature;python(3|2)?,debug,profil(e|ing)
335;feature;graphical,visualization,visuali(s|z)ation
336;language,app_lib_service;d3,seaborn,js,spark
338;app_lib_service,version,language,feature;version(ing)?\Wcontrol,plugin,debug,java,github
339;feature;geology
340;app_lib_service;atom,sublime
342;version,feature;git(\W|$),plot(ting),3d
345;version,feature;version(ing)?\Wcontrol,diagram
346;feature;widgets,interactiv(e|ity)
348;app_lib_service;pep8,pyflakes,unittest
349;app_lib_service;vim,neovim,gvim
350;version,app_lib_service;emacs,git(\W|$)
351;language,platform,app_lib_service;python(3|2)?,trinket,google,python\W?anywhere
352;version,language;git(\W|$),i?julia,julia
353;feature,version,app_lib_service;emacs,git(\W|$),editor
355;feature,app_lib_service;seaborn,matplotlib,visualization,visuali(s|z)ation
356;feature;collab,slide,comment
357;language,app_lib_service;python(3|2)?,matplotlib,numpy
358;feature;debug,variable
360;language,app_lib_service;python(3|2)?,visual studio
361;app_lib_service;sublime
362;version,app_lib_service;pep8,git(\W|$)
364;feature;visuali(s|z)ation,visualization,interactiv(e|ity)
365;app_lib_service;vim
366;app_lib_service;alteryx,spark
367;language,app_lib_service;nbconvert,R(\W|$)
368;app_lib_service;vim
370;version;git(\W|$)
373;app_lib_service;mayavi
374;language,app_lib_service;d3,js
377;app_lib_service,feature;documentation,variable,spyder
378;app_lib_service;matplotlib,bokeh
383;feature,app_lib_service;math,nbdiff,nbmerge
384;feature,app_lib_service;vim,plugin,nbdiff,github
385;version,language,app_lib_service;version(ing)?\Wcontrol,scala,spark
387;app_lib_service;org-mode,sage
389;feature,app_lib_service;spell\W?check,markdown
394;feature,platform,app_lib_service;github,atom,google,writing
396;version;git(\W|$)
398;feature,app_lib_service;animation,3d
400;version,feature;version(ing)?\Wcontrol,visuali(s|z)ation,git(\W|$),wiki,visualization
