;pleasant_aspects_themes;pleasant_aspects_keywords
1;visualization,ux;keyboard|hotkeys?|short-?cuts?|keybindings?,(ipy)?widgets
5;language,integrated_content;rich (content|output)|figures?|pictures?|images?|media,all(\s|-)in(\s|-)one|one place,notes|comments,i?python
6;visualization,dissemination,ecosystem,integrated_content,ux;github,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,shar(e|ing),plot(ting)?,(ipy)?widgets,combine|(text|code) (and|with)|and (code|text)
7;interactivity;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed
9;hosting,language,persistence,ux;i?python,web|browser|http,state,docker
10;ux,integrated_content;rich (content|output)|figures?|pictures?|images?|media,intuitive
11;interactivity;cells?
15;dissemination,ux;ux|interface|g?ui($|\W),presentations?
19;visualization,language,ecosystem,integrated_content;visual|eye candy,embedded,standard,languages?,github
21;ux,integrated_content;ux|interface|g?ui($|\W),mark(up|down)|HTML
22;interactivity,ux;modal,workflow,cells?
23;visualization,hosting,ux;plot(ting)?,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,setup
26;interactivity,ux;flexib(le|ility),simpl(e|icity)|clean,completion
28;interactivity,integrated_content;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,rich (content|output)|figures?|pictures?|images?|media,iterat(e|ion)
29;visualization,ux;intuitive,graph(s|ic|ing)
31;hosting,visualization,dissemination,ux;visual|eye candy,simpl(e|icity)|clean,presentations?,portability
33;integrated_content;rich (content|output)|figures?|pictures?|images?|media,in-?line
34;ecosystem,ux;web|browser|http,librar(y|ies)
35;dissemination,integrated_content;litera(te|cy) programming,presentations?,shar(e|ing),combine|(text|code) (and|with)|and (code|text)
37;interactivity,visualization,language,integrated_content,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,graph(s|ic|ing),languages?,cells?,in-?line
39;hosting,visualization,ecosystem,ux;platform,community|ecosystem|open source,visual|eye candy,web|browser|http
40;interactivity,visualization,integrated_content,ux;graph(s|ic|ing),run,in-?line,help,cells?,mark(up|down)|HTML
42;ux;ux|interface|g?ui($|\W),help
46;interactivity,persistence,integrated_content;repl,persist(ence|ent)?,combine|(text|code) (and|with)|and (code|text)
48;hosting,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,install
49;ecosystem;rpy2,ggplot2?
51;integrated_content,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,integrated?
52;hosting,integrated_content,ux;remote,web|browser|http,combine|(text|code) (and|with)|and (code|text)
53;ux,integrated_content;all(\s|-)in(\s|-)one|one place,looks (nice|great)|appealing|beautiful|pretty|elegant|appearance
54;interactivity,visualization,integrated_content,ux;rich (content|output)|figures?|pictures?|images?|media,embedded,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,(ipy)?widgets
55;ecosystem;librar(y|ies)
56;visualization,interactivity,integrated_content,ux;doc(s|umentation)?($|\W),navigation,in-?line,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,cells?,mark(up|down)|HTML,plot(ting)?,combine|(text|code) (and|with)|and (code|text)
59;visualization,dissemination,persistence,integrated_content;graph(s|ic|ing),snapshot,in-?line,render
61;visualization,dissemination,integrated_content;rich (content|output)|figures?|pictures?|images?|media,visual|eye candy,shar(e|ing),vi(s|z)ualization,combine|(text|code) (and|with)|and (code|text)
63;dissemination,extensible,ux;custom,shar(e|ing),looks (nice|great)|appealing|beautiful|pretty|elegant|appearance
68;dissemination,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,nbviewer
77;integrated_content;rich (content|output)|figures?|pictures?|images?|media,in-?line
78;interactivity;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,flexib(le|ility)
81;interactivity;workflow
85;dissemination,cost,ux;free,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,shar(e|ing)
86;interactivity;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed
87;interactivity,integrated_content;rich (content|output)|figures?|pictures?|images?|media,cells?,in-?line
92;interactivity,integrated_content;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,rich (content|output)|figures?|pictures?|images?|media
93;interactivity,visualization;plot(ting)?,explor(e|atory)|experiment|sandbox|prototype
94;interactivity,ux;ux|interface|g?ui($|\W),web|browser|http,cells?
95;persistence;history
96;hosting,interactivity,ux;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,portability
97;dissemination,integrated_content;convert,shar(e|ing),mark(up|down)|HTML
98;hosting,ecosystem,ux;matplotlib,pandas,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,setup
99;interactivity,visualization,persistence,integrated_content;vi(s|z)ualization,visual|eye candy,run,state,mark(up|down)|HTML
101;hosting,visualization;visual|eye candy,remote,vi(s|z)ualization,server
102;interactivity,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,run,cells?,completion
103;hosting,integrated_content,ux;server,doc(s|umentation)?($|\W),ux|interface|g?ui($|\W),web|browser|http,combine|(text|code) (and|with)|and (code|text)
104;visualization;graph(s|ic|ing)
105;interactivity,integrated_content;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,all(\s|-)in(\s|-)one|one place,mark(up|down)|HTML,combine|(text|code) (and|with)|and (code|text)
107;ux,extensible;simpl(e|icity)|clean,kernels|backends|kernel support
109;interactivity,visualization,integrated_content;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,notes|comments,graph(s|ic|ing)
110;interactivity,visualization,ecosystem,integrated_content;github,graph(s|ic|ing),cells?,in-?line
117;visualization,ux;visual|eye candy,simpl(e|icity)|clean
118;dissemination,ux;doc(s|umentation)?($|\W),collaborat(e|ion|ive|ors),eas(e|y|iness)(\sof|\sto)?(\suse|install)?
119;visualization;plot(ting)?
120;integrated_content;notes|comments,integrated?,combine|(text|code) (and|with)|and (code|text)
126;dissemination,integrated_content,ux;render,keyboard|hotkeys?|short-?cuts?|keybindings?,in-?line,mark(up|down)|HTML
128;hosting,ux;ux|interface|g?ui($|\W),portability
129;ecosystem;matplotlib
131;interactivity,visualization,integrated_content;plot(ting)?,cells?,in-?line
135;interactivity,ux,integrated_content;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,responsive,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,run,combine|(text|code) (and|with)|and (code|text)
138;dissemination;teaching
139;interactivity,hosting,ux;run,web|browser|http,remote
141;;
145;ux;simpl(e|icity)|clean,looks (nice|great)|appealing|beautiful|pretty|elegant|appearance
146;language,ecosystem,ux;magics?,keyboard|hotkeys?|short-?cuts?|keybindings?,languages?
148;interactivity,ux;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,editor
150;dissemination,integrated_content;contained,repeatable
151;visualization,integrated_content,ux;plot(ting)?,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,combine|(text|code) (and|with)|and (code|text)
152;language,ecosystem,integrated_content;tool(ing)?,i?python,litera(te|cy) programming,mark(up|down)|HTML,bash
153;interactivity;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed
154;interactivity,dissemination,integrated_content;run,presentations?,latex,combine|(text|code) (and|with)|and (code|text)
155;interactivity;interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed
157;ecosystem,ux,integrated_content;matplotlib,ux|interface|g?ui($|\W),web|browser|http,in-?line
159;interactivity,visualization,ux,integrated_content;graph(s|ic|ing),visual|eye candy,vi(s|z)ualization,in-?line,eas(e|y|iness)(\sof|\sto)?(\suse|install)?,cells?,mark(up|down)|HTML
160;dissemination,interactivity,ecosystem,visualization,persistence;visual|eye candy,vi(s|z)ualization,github,render,interact(ive|ivity|ion)|live|immediate|quick|instant|rapid|fast|speed,(auto)?sav(e|ing),(ipy)?widgets
163;dissemination,persistence;shar(e|ing),persist(ence|ent)?
165;integrated_content,extensible,ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?,notes|comments,expanding
167;interactivity,language,hosting,ux;portability,web|browser|http,i?python,cells?
176;interactivity,dissemination,integrated_content;pdf,latex,cells?,mark(up|down)|HTML
179;interactivity;iterative|feedback|dynamic
184;hosting,ecosystem;setup,librar(y|ies)
186;ux;eas(e|y|iness)(\sof|\sto)?(\suse|install)?
198;ux;completion
201;interactivity;cells?
