;roles_roles;roles_keywords;roles_primary
1;scientist,student;(astro|bio|geo)?physic(s|ist)?,student;student
5;scientist;(astro|bio|geo)?physic(s|ist)?;scientist
6;financial_analyst,researcher,educator;economi(c|st),research(er)?,professor;educator
7;financial_analyst,data_scientist;financial (model(er|ing)|analyst),data analys(t|is);financial_analyst
9;developer,researcher;develop(er|ment),research(er)?;developer
10;educator;teach(er|ing);educator
11;developer;develop(er|ment);developer
15;financial_analyst;economi(c|st);financial_analyst
17;analyst;analytics;analyst
19;;;
21;student;student,phd;student
22;researcher;research(er)?;researcher
23;researcher;research(er)?;researcher
26;student;student,phd;student
28;student;student;student
29;data_scientist;data(\s|-)scien(ce|tist);data_scientist
31;financial_analyst;financial (model(er|ing)|analyst),economi(c|st);financial_analyst
33;independent;secretary;independent
34;scientist,researcher;^((?!data).)*scientist,research(er)?;scientist
35;researcher,educator;research(er)?,teach(er|ing);educator
37;developer,data_scientist;develop(er|ment),data analys(t|is);data_scientist
38;engineer;^((?!software).)*engineer;engineer
39;engineer;^((?!software).)*engineer;engineer
40;analyst;^((?!(data|financial)).)*analyst;analyst
41;scientist;neuroscientist,^((?!data).)*scientist;scientist
42;researcher;research(er)?;researcher
43;educator;teach(er|ing);educator
46;data_scientist;data(\s|-)scien(ce|tist);data_scientist
48;developer;develop(er|ment);developer
49;student;student;student
51;engineer;^((?!software).)*engineer;engineer
52;developer;develop(er|ment);developer
53;scientist;(astro|bio|geo)?physic(s|ist)?;scientist
54;educator;professor;educator
55;student;student;student
56;data_scientist;data(\s|-)scien(ce|tist);data_scientist
59;data_scientist;data(\s|-)scien(ce|tist);data_scientist
60;researcher;research(er)?;researcher
61;engineer;^((?!software).)*engineer;engineer
63;scientist,student;bioinformatic(s|ian),student;student
64;scientist;(astro|bio|geo)?physic(s|ist)?;scientist
66;student;student;student
68;educator;instructor;educator
69;developer;software (engineer|architect);developer
77;student;student;student
78;data_scientist;data(\s|-)scien(ce|tist);data_scientist
79;data_scientist,independent;data(\s|-)scien(ce|tist),consultant;data_scientist
81;data_scientist;data analys(t|is);data_scientist
