;workflow_needs_not_addressed_themes;workflow_needs_not_addressed_keywords
1;development;interact,plot
5;development,collab;visualization,interact,variable,visual,concurrent
6;development,version,disseminate;version,organi(s|z),slide,document,present,version control
7;development,reuse,version,disseminate;interact,manag(e|ing),version,dashboard
9;development,reuse,setup,disseminate;automat(e|ing|ion),script,report,deploy,clean,storage
10;development;complet(e|ion)
11;development,reuse;debug,long
15;development,reuse;complex,script,chain,workflow
19;development,disseminate;interact,present,visual,dashboard
21;reuse,disseminate;writing,librar(y|ies)
22;development,reuse;script,refactor,large
23;development,reuse;re-?us(e|able),refactor,debug
26;setup,development,version;environ,project,version control,version
28;setup,reuse,disseminate;customi(s|z),report,document,complicate
29;development,setup,reuse;environ,script,complex,variable,large
31;setup;install
33;development,setup;config,script,startup
34;development;visualization,variable,visual,debug
35;development,collab;collab,workflow
37;reuse,development,disseminate;writing,librar(y|ies),test,long
39;development,collab,version,disseminate;publi(sh|cation),review,collab,multi-?user,provenance
40;;
41;reuse,development;package,interact,clean
42;development;script,variable,refactor
48;development,reuse,setup;development,environ,librar(y|ies)
49;;
51;disseminate;send
52;reuse;librar(y|ies)
53;development,reuse,disseminate;complex,document,edit(ing|or),organi(s|z)
54;reuse,setup,collab;setup,collab,manag(e|ing)
55;;
56;version;version control,version
60;version;version control,version
61;development,disseminate;widgets,slide
68;disseminate;document
77;reuse;large
78;setup;environ
79;development,disseminate;development,app(s|lication),present,product(ion|i(s|z)ation)?
83;development;debug
85;;
87;development;visualization,visual
89;setup,disseminate;document,theme,embed
93;development,disseminate;widgets,interact,deploy,web
94;collab;simultaneous
95;collab;collab
97;version;version control,version
98;collab,disseminate;export,shar(e|ing)
99;development,reuse;batch,workflow
101;version;version control,version
102;;
103;development,reuse;graphic,large,brows,interact,package,browse,javascript
104;reuse;long
105;version;version control,version,git
107;reuse;manag(e|ing),portab
109;reuse,disseminate;maintain,deploy
110;development;script
117;version,disseminate;access (control|rights),git
119;development;edit(ing|or)
120;development,version;git,integrat(ing|ion),integration
121;development,disseminate;script,writing
123;development,version;edit(ing|or),version control,version
126;reuse,development,disseminate;project,paper,manag(e|ing)
128;development;edit(ing|or)
135;development,reuse,disseminate;development,librar(y|ies),test,standalone,long
138;;
139;development,reuse;test,manag(e|ing)
141;version;version
143;version;version control,version
145;development;variable,organi(s|z)
146;collab,version;collab,version,git
148;disseminate;gui
150;development,reuse,disseminate;interact,report,manag(e|ing),dashboard
151;development;spell check
152;version;hg,git
153;development;parallel
154;development,reuse;complex,debug,long
155;version;version
157;development,reuse,disseminate;development,writing,test,librar(y|ies)
159;development,collab,disseminate;multi-?user,concurrent,edit(ing|or),app(s|lication),bundle,standalone
160;setup,reuse,development,version;manag(e|ing),version,install,visualization,environ,version control,visual
163;collab;shar(e|ing)
167;development,disseminate;visualization,deploy,interact,app(s|lication),story,visual
173;development,disseminate;textbook,widgets
174;development;complet(e|ion)
176;development;brows
184;development,collab,disseminate;publi(sh|cation),collab,interact
186;reuse,version,disseminate;document,calling,diff(\W|$)
198;development,version;parallel,version control,version
204;reuse,version;version control,reproduc,diff(\W|$),version
210;reuse,disseminate;package,document,documents,slide
211;development,collab;widgets,complet(e|ion),debug,multi-?user,shar(e|ing)
216;;
220;setup;mobile
