;hinderances_themes;hinderances_keywords
1;;
5;;
6;setup,development;setup,server,access,search
7;disseminate,reuse,development;web,report,package,format,integrat(ing|ion),dataframes,input
8;development;cut
9;reuse;schedule,automat(e|ing|ion)
10;;
11;development;integrat(ing|ion),vim,edit(ing|or),browse
12;collab;collab
13;development;vim
14;version,development;git,integrat(ing|ion)
15;external;policy,colleague
16;disseminate,reuse,language,setup,development;writing,long,fortran,state,plot,interact
21;version;git
22;;
23;development;debug,ui,ide(\W|$),refactor
24;collab;collab
26;disseminate,reuse,version,setup,development;document,large,version,documentation,format
27;robust,setup;reliability,windows,windows
28;disseminate;paper,report
29;external,collab;colleague,collab
31;;
33;disseminate,setup,development;document,documentation,config,script
34;language,development;matlab,debug,ide(\W|$),visual
35;external,reuse,collab,development;team,manag(e|ing),shar(e|ing),project,workspace
36;version,development;git,interact
37;development;edit(ing|or)
38;nothing;nothing
39;disseminate,version,development;deploy,version,integrat(ing|ion),search,project,widgets
40;;
41;version,development;git,integrat(ing|ion),interact
42;development;complet(e|ion),refactor
43;development;edit(ing|or),ide(\W|$)
48;reuse;modul(e|ar),librar(y|ies)
49;nothing;nothing
51;setup;server
52;development;edit(ing|or)
53;setup;server
54;nothing;nothing
55;;
59;development;collapse
60;disseminate,reuse,version,setup,development;present,large,version,config,develop,development,scroll,project,widgets
61;;
63;disseminate,robust,language,version,setup,development;gui,error,r($|\W),r(\W|$),git,version,install,desktop,develop,development,edit(ing|or),debug,shortcuts
66;version,setup,development;history,state,browse,complet(e|ion)
68;nothing;nothing
69;reuse,development;librar(y|ies),interact
72;reuse,development;modul(e|ar),interact
78;integrations;sas
79;setup,development;environ,develop,development
81;disseminate,language,development;document,matlab,design,variable,view,edit(ing|or),browse,complet(e|ion),interact,interface
85;disseminate,development;gui,browse
86;;
89;version,setup,development;git,theme,theme,integrat(ing|ion)
92;nothing;nothing
93;integrations,development;db,connections,widgets,interact
94;setup;install
95;external,collab,version;colleague,collab,git
96;disseminate,development;product(ion|i(s|z)ation),script
97;version,development;version,develop,development,edit(ing|or),browse
98;integrations,collab;excel,shar(e|ing)
99;reuse,development;complex,script
101;disseminate,version,development;product(ion|i(s|z)ation),version,integrat(ing|ion)
102;nothing;nothing
103;version,setup,development;version,config,ui,organization,organi(s|z)
104;version,development;version,integrat(ing|ion),edit(ing|or)
